"global_category","indicator_name","value","count"
"Sectoral Information","Sectoral plans on","Increased share of Solar power",2
"Sectoral Information","Sectoral plans on","Increased share of Wind power",2
"Sectoral Information","Sectoral plans on","Increased solar systems and solar energy",2
"Sectoral Information","Sectoral plans on","increased use of bicycles",2
"Sectoral Information","Sectoral plans on","Increased use of bicycles, walking",2
"Sectoral Information","Sectoral plans on","increased use of hybrid cars",2
"Sectoral Information","Sectoral plans on","Increased use of natural gas replacing coal",2
"Sectoral Information","Sectoral plans on","Increased use of railway; Extension of the railway to Bulgaria",2
"Sectoral Information","Sectoral plans on","Infrastructure investments to move towards district cooling; and Improve efficiency as compared to decentralized cooling",2
"Sectoral Information","Sectoral plans on","Initiation of specific mitigation programmes",2
"Sectoral Information","Sectoral plans on","Innovative mechanism to address challenges: limited land area; already established diesel based power generation systems; high investment costs",2
"Sectoral Information","Sectoral plans on","installation of solar pumps | use of organic waste for biogas production and obtaining biofertilizers that replace chemical fertilizers",2
"Sectoral Information","Sectoral plans on","Integrated waste management",2
"Sectoral Information","Sectoral plans on","integration of improved energy efficiency",2
"Sectoral Information","Sectoral plans on","Integration of sustainable soil and land management technologies and approaches",2
"Sectoral Information","Sectoral plans on","Intensification and mechanization of agriculture and animal production",2
"Sectoral Information","Sectoral plans on","Intensive agriculture and livestock",2
"Sectoral Information","Sectoral plans on","intensive construction of large solar photovoltaic power plants",2
"Sectoral Information","Sectoral plans on","Intra- and inter-city railways",2
"Sectoral Information","Sectoral plans on","Introduce  low-carbon standards for fuel efficiency and emissions produced from automobiles; Provide various incentives, including tax reductions for electric and hybrid vehicles in order to promote low-carbon vehicles.",2
"Sectoral Information","Sectoral plans on","Introduce advanced technologies for afforestation and reforestation<br>Intensify the all-inclusive mass movement for planting trees such as the period of the spring and autumn general mobilization for land management and the Reforestation Day",2
