"global_category","indicator_name","value","count"
"Sectoral Information","Existing sectoral policies","Perform, Achieve and Trade (PAT) /Energy Savings Certificates trading market mechanism; energy efficiency standards and labelling; Partial Risk Guarantee Fund; Venture Capital Fund for energy efficiency; SME clusters for energy efficiency",2
"Sectoral Information","Existing sectoral policies","policies to promote markets for renewable energy | Roadmap to phase out fossil fuel subsidies",2
"Sectoral Information","Existing sectoral policies","Power Development Plan B.E. 2558-“2579 (2015-2036); Energy Efficiency Plan B.E. 2558-“2579 (2015-2036)",2
"Sectoral Information","Existing sectoral policies","product and labelling standards, demand side management programs",2
"Sectoral Information","Existing sectoral policies","REDD+",2
"Sectoral Information","Existing sectoral policies","Reform petrol/ diesel subsidies",2
"Sectoral Information","Existing sectoral policies","Renewable Energy Certificates Green Energy Corridor ($6 billion, rolled out)",2
"Sectoral Information","Existing sectoral policies","Renewable Energy Policy",2
"Sectoral Information","Existing sectoral policies","Renewable Energy Strategy",2
"Sectoral Information","Existing sectoral policies","Revised Building Code",2
"Sectoral Information","Existing sectoral policies","Roadmap to remove inefficient energy-consuming technologies | Market instruments to improve energy efficiency; Energy efficiency labels",2
"Sectoral Information","Existing sectoral policies","Rulebook on Energy Performance of Buildings and Directive 2010/31/EU",2
"Sectoral Information","Existing sectoral policies","Sectoral Strategy for the Energy Sector in Burundi (2011)",2
"Sectoral Information","Existing sectoral policies","Sewage treatment plants",2
"Sectoral Information","Existing sectoral policies","Smart Cities Mission; Atal Mission for Rejuvenation and Urban Transformation (AMRUT)",2
"Sectoral Information","Existing sectoral policies","Solid waste management (USD 397 million)",2
"Sectoral Information","Existing sectoral policies","Solid Waste Policy",2
"Sectoral Information","Existing sectoral policies","Standards on fuel consumption",2
"Sectoral Information","Existing sectoral policies","State policy on forest",2
"Sectoral Information","Existing sectoral policies","State policy on Industry, 2015 (2015-2030); NAMAs, 2010; NAPCC, 2011; Government resolution No. 171, 2012: Building materials programme",2
"Sectoral Information","Existing sectoral policies","Strategic plan for the electricity sub-sector; Draft National Energy Policy (POLEN)",2
"Sectoral Information","Existing sectoral policies","Sustainable Energy Action Plan; National bioenergy strategy; Phasing out fossil fuel subsidies",2
"Sectoral Information","Existing sectoral policies","Sustainable Energy Action Plan; National Natural Gas Master Plan; National LPG Programme",2
"Sectoral Information","Existing sectoral policies","sustainable waste management policy",2
"Sectoral Information","Existing sectoral policies","Tax reduction incentive for more efficient light bulbs in buildings",2
"Sectoral Information","Existing sectoral policies","Tax reduction incentive for solar panel and solar water heater",2
"Sectoral Information","Existing sectoral policies","The adoption of the law N° 011/2002 of 29 August 2002 on the Forestry Code | Development of the National Programme Environment, Forestry, Water and Biodiversity",2
"Sectoral Information","Existing sectoral policies","The Climate Change Policy Framework for Jamaica (2015)",2
"Sectoral Information","Existing sectoral policies","the Dubai Integrated Energy Strategy 2030",2
"Sectoral Information","Existing sectoral policies","the Malawi Energy Policy",2
"Sectoral Information","Existing sectoral policies","The Motor Vehicles Standards and technical regulations (efficiency)",2
"Sectoral Information","Existing sectoral policies","The National Renewable Energy Action Plan (NREAP)",2
"Sectoral Information","Existing sectoral policies","The National Strategy for the Development of Transport in Togo (not yet adopted)",2
"Sectoral Information","Existing sectoral policies","Togo‘s National Energy Efficiency Action Plan (NEEAP)",2
"Sectoral Information","Existing sectoral policies","Toll roads / road pricing",2
"Sectoral Information","Existing sectoral policies","Transport Policy",2
"Sectoral Information","Existing sectoral policies","Transport Policy and Strategy",2
"Sectoral Information","Existing sectoral policies","UN-REDD Programme",2
"Sectoral Information","Existing sectoral policies","Waste management policy",2
"Sectoral Information","Existing sectoral policies","Waste Management Strategy",2
"Sectoral Information","Existing sectoral policies","Waste Roadmap for Cabo Verde",2
"Sectoral Information","Existing sectoral policies","White Book on Energy",2
