"global_category","indicator_name","value","count"
"Sectoral Information","Estimated costs for implementation (conditional)","109 million",1
"Sectoral Information","Estimated costs for implementation (conditional)","109 million<br>109 million",1
"Sectoral Information","Estimated costs for implementation (conditional)","12.92 bn",1
"Sectoral Information","Estimated costs for implementation (conditional)","1440",1
"Sectoral Information","Estimated costs for implementation (conditional)","150<br>165",1
"Sectoral Information","Estimated costs for implementation (conditional)","1500 Million USD",1
"Sectoral Information","Estimated costs for implementation (conditional)","1531",1
"Sectoral Information","Estimated costs for implementation (conditional)","1531 million",1
"Sectoral Information","Estimated costs for implementation (conditional)","17 Million USD",1
"Sectoral Information","Estimated costs for implementation (conditional)","1700 Million USD",1
"Sectoral Information","Estimated costs for implementation (conditional)","18",1
"Sectoral Information","Estimated costs for implementation (conditional)","20.6 bn",1
"Sectoral Information","Estimated costs for implementation (conditional)","230 Million USD",1
"Sectoral Information","Estimated costs for implementation (conditional)","250",1
